model	exp	member	table	grid	n_files	filelist	merged_outfile	reduce	reduced_outfile
ACCESS-ESM1-5	esm-up2p0	r1i1p1f1	Amon	gn	2	ACCESS-ESM1-5.txt	tas_Amon_ACCESS-ESM1-5_esm-up2p0_r1i1p1f1_gn_merged.nc	gmstmon	tas_Amon_ACCESS-ESM1-5_esm-up2p0_r1i1p1f1_gn_gmstmon.nc
EC-Earth3-ESM-1	esm-up2p0	r1i1p1f1	APmon	gr	350	EC-Earth3-ESM-1.txt	tas_APmon_EC-Earth3-ESM-1_esm-up2p0_r1i1p1f1_gr_merged.nc	gmstmon	tas_APmon_EC-Earth3-ESM-1_esm-up2p0_r1i1p1f1_gr_gmstmon.nc
GFDL-ESM2M	esm-up2p0	r1i1p1f1	APmon	gn	5	GFDL-ESM2M.txt	tas_APmon_GFDL-ESM2M_esm-up2p0_r1i1p1f1_gn_merged.nc	gmstmon	tas_APmon_GFDL-ESM2M_esm-up2p0_r1i1p1f1_gn_gmstmon.nc
GISS-E2-1-G-CC2	esm-up2p0	r1i1p1f3	APmon	gn	33	GISS-E2-1-G-CC2.txt	tas_APmon_GISS-E2-1-G-CC2_esm-up2p0_r1i1p1f3_gn_merged.nc	gmstmon	tas_APmon_GISS-E2-1-G-CC2_esm-up2p0_r1i1p1f3_gn_gmstmon.nc
IPSL-CM6-ESMCO2	esm-up2p0	r1i2p3f1	Amon	gr	6	IPSL-CM6-ESMCO2.txt	tas_Amon_IPSL-CM6-ESMCO2_esm-up2p0_r1i2p3f1_gr_merged.nc	gmstmon	tas_Amon_IPSL-CM6-ESMCO2_esm-up2p0_r1i2p3f1_gr_gmstmon.nc
MIROC-ES2L	esm-up2p0	r1i1p1f1	APmon	gn	2	MIROC-ES2L.txt	tas_APmon_MIROC-ES2L_esm-up2p0_r1i1p1f1_gn_merged.nc	gmstmon	tas_APmon_MIROC-ES2L_esm-up2p0_r1i1p1f1_gn_gmstmon.nc
NorESM2-LM	esm-up2p0	r1i1p1f1	Amon	gn	24	NorESM2-LM.txt	tas_Amon_NorESM2-LM_esm-up2p0_r1i1p1f1_gn_merged.nc	gmstmon	tas_Amon_NorESM2-LM_esm-up2p0_r1i1p1f1_gn_gmstmon.nc
UKESM1-2-LL	esm-up2p0	r1i1p1f1	Amon	gn	4	UKESM1-2-LL.txt	tas_Amon_UKESM1-2-LL_esm-up2p0_r1i1p1f1_gn_merged.nc	gmstmon	tas_Amon_UKESM1-2-LL_esm-up2p0_r1i1p1f1_gn_gmstmon.nc
