model,shift_yr_at_gwl_1.0,shift_yr_at_gwl_1.5,shift_yr_at_gwl_2.0
ACCESS-ESM1-5,1.269350853441523,0.5019820621243127,3.3095638480202467
EC-Earth3-ESM-1,1.8310047205968658,1.4831832440606831,2.8906820513750517
GFDL-ESM2M,2.2075394726280138,0.7565401686217683,1.470284892546033
GISS-E2-1-G-CC2,0.9875000338997779,0.9396727174992066,0.2746528256809597
IPSL-CM6-ESMCO2,1.2997249796585493,1.5996924157079775,1.1351586968673928
MIROC-ES2L,0.8193436709736943,0.8607842904621066,1.0094082869363774
NorESM2-LM,1.8756261095716127,0.7787910194069809,1.4612798076900617
UKESM1-2-LL,1.6515283472688225,0.42676676588394,0.303244383903575

gwl,max_shift_yr,equiv_degC,n_models
1.0,2.2075394726280138,0.04415078945256028,8
1.5,1.5996924157079775,0.03199384831415955,8
2.0,3.3095638480202467,0.06619127696040493,8
