model,drift_degC_per_century,total_drift_degC,ref_full_K,ref_window_K,abs_dref_K
ACCESS-ESM1-5,0.022581929467045663,0.11268382804055786,287.72424984789455,287.67289201635816,0.05135783153639295
EC-Earth3-ESM-1,-0.025785881630804103,-0.15471528978482463,287.9115124124433,288.0002353778814,0.08872296543808034
GFDL-ESM2M,0.0182560862514784,0.12049016925975742,286.9778756572262,286.950671424478,0.02720423274820405
GISS-E2-1-G-CC2,-0.012612499004123152,-0.05663012052851295,286.7602563489864,286.7802128203927,0.019956471406317178
IPSL-CM6-ESMCO2,-0.03875467350014666,-0.25151783101595176,285.73693277644156,285.8132495974331,0.07631682099156478
MIROC-ES2L,-0.004465248646246111,-0.022281590744768095,288.1235950293342,288.101785963035,0.0218090662991699
