model,shift_yr_at_gwl_1.0,shift_yr_at_gwl_1.5,shift_yr_at_gwl_2.0
ACCESS-ESM1-5,1.0904261069782422,0.3540765115938598,3.3927043942892396
CESM2,2.4108482834028706,1.4873155368739504,1.9105485837907707
EC-Earth3-ESM-1,2.520736657467296,1.760460164211736,1.4515543811305633
GFDL-ESM2M,2.639393322649539,0.9351250601230277,1.6254748230137466
GISS-E2-1-G-CC2,1.202925038648118,1.6820124506043612,0.6681595949594339
IPSL-CM6-ESMCO2,2.226181790186274,1.2131212394585873,2.137936337510382
MIROC-ES2L,0.7256446263306771,2.765775242123709,0.24463423466022505
NorESM2-LM,1.8750781920305144,0.7790740645216374,1.4609267420719334
UKESM1-2-LL,1.9020777882126367,0.6998566154709351,0.7408379673181571

gwl,max_shift_yr,equiv_degC,n_models
1.0,2.639393322649539,0.052787866452990787,9
1.5,2.765775242123709,0.05531550484247418,9
2.0,3.3927043942892396,0.0678540878857848,9
